GoFreight Page Ranking Comparison: Jan-Jun 2025 (Monthly Avg) vs Dec 2025
Top 100 Pages by Jan-Jun 2025 Clicks

Rank,Original URL (Jan-Jun 2025),Current URL (Dec 2025),Jan-Jun Total,Jan-Jun Monthly Avg,Dec 2025 Clicks,Change vs Avg,% Change,Jan-Jun Cumulative %
46,https://www.gofreight.com/glossary/tracking-container-status-at-oakland-port,https://archive.gofreight.com/glossary/tracking-container-status-at-oakland-port,111,22,4,-18,-81.8%,100.2%
47,https://www.gofreight.com/blog/solution/supply-chain-forecasting-how-to-weather-disruptions.html,https://gofreight.com/blog/solution/supply-chain-forecasting-how-to-weather-disruptions.html,107,21,3,-18,-85.7%,100.5%
48,https://www.gofreight.com/glossary/chassis-split-fee,https://archive.gofreight.com/glossary/chassis-split-fee,97,19,4,-15,-78.9%,100.9%
49,https://www.gofreight.com/blog/education/everything-freight-forwarders-need-to-know-about-the-electronic-cargo-tracking-note.html,https://gofreight.com/blog/education/everything-freight-forwarders-need-to-know-about-the-electronic-cargo-tracking-note.html,93,19,4,-15,-78.9%,101.2%
50,https://www.gofreight.com/glossary/husky-terminal-container-tracking,https://archive.gofreight.com/glossary/husky-terminal-container-tracking,84,17,9,-8,-47.1%,101.5%
,SUBTOTAL TOP 50,,28226,5645,1849,-3796,-67.2%,101.5%


URL REDIRECT PATTERNS

Pattern,Count,Example
www.gofreight.com/blog/* -> gofreight.com/blog/*,45,Blog pages: www stripped
www.gofreight.com/glossary/* -> archive.gofreight.com/glossary/*,28,Glossary pages: moved to archive
www.gofreight.com/solutions/* -> archive.gofreight.com/solutions/*,4,Some solutions pages: moved to archive
www.gofreight.com/tracking-portal -> archive.gofreight.com/tracking-portal,1,Tracking portal: moved to archive
www.gofreight.com/container-tracking-system -> archive.gofreight.com/container-tracking-system,1,Container tracking: moved to archive
support.gofreight.com/* -> support.gofreight.com/*,2,Support pages: no change
api.gofreight.com/ -> api.gofreight.com/,1,API docs: no change


SUMMARY STATISTICS

Metric,Jan-Jun Monthly Avg,Dec 2025,Change,% Change
Top 10 Pages Total,3924,1396,-2528,-64.4%
Top 20 Pages Total,4633,1535,-3098,-66.9%
Top 50 Pages Total,5645,1849,-3796,-67.2%
Top 100 Pages Total,6154,2031,-4123,-67.0%


PAGES WITH POSITIVE GROWTH (Dec 2025 > Jan-Jun Avg)

Rank,Original URL,Current URL,Jan-Jun Avg,Dec 2025,Change,% Change
